date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:58	125/125	---M-Z	200	added ('OK')	text/plain	date:Sat,%2006%20Jul%202024%2012:55:57%20GMT	https://750recetas.desdeceroaexperto.com/robots.txt		(from )
09:55:59	133458/133458	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:55:58%20GMT	https://750recetas.desdeceroaexperto.com/	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/index.html	(from )
09:56:00	6680/6680	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:02:00%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/plugins/fliptimer-wp/fliptimer/fliptimer.css?ver=6.5.5	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/plugins/fliptimer-wp/fliptimer/fliptimeradc6.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:00	284/284	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:02:01%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/plugins/mailingboss/public/css/mailingboss-wp-plugin-public.css?ver=1.0.18	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/plugins/mailingboss/public/css/mailingboss-wp-plugin-public2889.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:01	1845/1845	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2006%20Jul%202024%2003:37:46%20GMT	https://750recetas.desdeceroaexperto.com/feed/	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/feed/index.html	(from https://750recetas.desdeceroaexperto.com/)
09:56:01	1792/1792	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2006%20Jul%202024%2003:37:46%20GMT	https://750recetas.desdeceroaexperto.com/comments/feed/	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/comments/feed/index.html	(from https://750recetas.desdeceroaexperto.com/)
09:56:01	19566/19566	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:02:09%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/themes/generatepress/assets/css/main.min.css?ver=3.3.1	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/themes/generatepress/assets/css/main.min3d36.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:02	19820/19820	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:04:40%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.30.0	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine94d.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:03	146740/146740	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:04:36%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.22.3	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/plugins/elementor/assets/css/frontend-lite.mindcff.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:03	16471/16471	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:04:41%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:04	1168/1168	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:02:18%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/uploads/elementor/css/post-5.css?ver=1697735712	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/uploads/elementor/css/post-50e2d.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:05	11053/11053	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:01:57%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.19.2	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min34a7.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:06	40207/40207	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:02:18%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/uploads/elementor/css/global.css?ver=1697735713	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/uploads/elementor/css/global2e3f.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:06	53796/53796	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2003:38:37%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/uploads/elementor/css/post-8.css?ver=1720237117	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/uploads/elementor/css/post-86d19.css	(from https://750recetas.desdeceroaexperto.com/)
09:56:07	58071/58071	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2001:04:40%20GMT	https://750recetas.desdeceroaexperto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Meus%20Sites/Latam2/750recetas.desdeceroaexperto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://750recetas.desdeceroaexperto.com/)
